file 	 epsilon 	 QC 	 QS 	 QCprime 	 ret 	 time 
SDN00011_L00010_R00003.txt	0.05	1.0	0.0	1.0	3	0.07767521898495033
SDN00011_L00010_R00003.txt	0.1	1.0	0.0	1.0	3	0.12403205398004502
SDN00011_L00010_R00003.txt	0.2	1.0	0.0	1.0	3	0.07809340895619243
SDN00011_L00010_R00003.txt	0.3	0.8142857142857143	0.3132530120481928	0.8503401360544217	3	0.126262585981749
SDN00011_L00010_R00003.txt	0.4	0.9428571428571428	0.10810810810810811	0.9761904761904762	2	0.07584427297115326
SDN00011_L00010_R00003.txt	0.5	0.9095238095238095	0.16593886462882096	0.9333333333333333	1	0.1267616980476305
SDN00012_L00010_R00000.txt	0	1.0	0.0	1.0	0	0.058883521996904165
SDN00012_L00010_R00000.txt	0.01	1.0	0.0	1.0	0	0.05822168797021732
SDN00012_L00010_R00000.txt	0.02	1.0	0.0	1.0	0	0.10006821498973295
SDN00012_L00010_R00000.txt	0.05	1.0	0.0	1.0	0	0.061762927973177284
SDN00012_L00010_R00000.txt	0.1	1.0	0.0	1.0	0	0.0652900620480068
SDN00012_L00010_R00000.txt	0.2	1.0	0.0	1.0	0	0.11319806100800633
SDN00012_L00010_R00000.txt	0.3	1.0	0.0	1.0	0	0.06721884303260595
SDN00012_L00010_R00000.txt	0.4	1.0	0.0	1.0	0	0.07284062600228935
SDN00012_L00010_R00000.txt	0.5	0.9238095238095239	0.1415929203539823	0.9238095238095239	0	0.11722319602267817
SDN00013_L00010_R00003.txt	0	1.0	0.0	1.0	3	0.028901098005007952
SDN00013_L00010_R00003.txt	0.01	1.0	0.0	1.0	3	0.07592835900140926
SDN00013_L00010_R00003.txt	0.02	1.0	0.0	1.0	3	0.11684142099693418
SDN00013_L00010_R00003.txt	0.05	1.0	0.0	1.0	3	0.07162081100977957
SDN00013_L00010_R00003.txt	0.1	1.0	0.0	1.0	3	0.1196617620298639
SDN00013_L00010_R00003.txt	0.2	0.9666666666666667	0.06451612903225806	0.9642857142857143	2	0.07501413999125361
SDN00013_L00010_R00003.txt	0.3	0.9666666666666667	0.06451612903225806	0.9659863945578231	2	0.07814692100510001
SDN00013_L00010_R00003.txt	0.4	0.9666666666666667	0.06451612903225806	0.9682539682539683	2	0.12050664698472247
SDN00013_L00010_R00003.txt	0.5	0.8761904761904762	0.22033898305084745	0.8952380952380953	1	0.07682672899682075
SDN00014_L00010_R00001.txt	0	1.0	0.0	1.0	1	0.10789414402097464
SDN00014_L00010_R00001.txt	0.01	1.0	0.0	1.0	1	0.0833051530062221
SDN00014_L00010_R00001.txt	0.02	1.0	0.0	1.0	1	0.1297719129943289
SDN00014_L00010_R00001.txt	0.05	1.0	0.0	1.0	1	0.08715237304568291
SDN00014_L00010_R00001.txt	0.1	1.0	0.0	1.0	1	0.08688683604123071
SDN00014_L00010_R00001.txt	0.2	1.0	0.0	1.0	1	0.08588324597803876
SDN00014_L00010_R00001.txt	0.3	0.9095238095238095	0.16593886462882096	0.8775510204081632	1	0.0882454319507815
SDN00014_L00010_R00001.txt	0.4	0.9095238095238095	0.16593886462882096	0.9285714285714286	1	0.12672770000062883
SDN00014_L00010_R00001.txt	0.5	0.9095238095238095	0.16593886462882096	0.8952380952380953	1	0.0882107749930583
SDN00015_L00010_R00000.txt	0	1.0	0.0	1.0	0	0.1096124789910391
SDN00015_L00010_R00000.txt	0.01	1.0	0.0	1.0	0	0.058656102046370506
SDN00015_L00010_R00000.txt	0.02	1.0	0.0	1.0	0	0.10857478197431192
SDN00015_L00010_R00000.txt	0.05	1.0	0.0	1.0	0	0.062050623004324734
SDN00015_L00010_R00000.txt	0.1	1.0	0.0	1.0	0	0.06244017300195992
SDN00015_L00010_R00000.txt	0.2	1.0	0.0	1.0	0	0.06668926501879469
SDN00015_L00010_R00000.txt	0.3	1.0	0.0	1.0	0	0.07139135501347482
SDN00015_L00010_R00000.txt	0.4	0.8523809523809524	0.2572614107883817	0.8888888888888888	0	0.11600953398738056
SDN00015_L00010_R00000.txt	0.5	1.0	0.0	1.0	0	0.07804437796585262
SDN00016_L00010_R00003.txt	0	1.0	0.0	1.0	3	0.02601866499753669
SDN00016_L00010_R00003.txt	0.01	1.0	0.0	1.0	3	0.07563272397965193
SDN00016_L00010_R00003.txt	0.02	1.0	0.0	1.0	3	0.07673475897172466
SDN00016_L00010_R00003.txt	0.05	1.0	0.0	1.0	3	0.12134563399013132
SDN00016_L00010_R00003.txt	0.1	1.0	0.0	1.0	3	0.07831301999976858
SDN00016_L00010_R00003.txt	0.2	1.0	0.0	1.0	3	0.0797075959853828
SDN00016_L00010_R00003.txt	0.3	1.0	0.0	1.0	3	0.12457025499315932
SDN00016_L00010_R00003.txt	0.4	0.9666666666666667	0.06451612903225806	0.9603174603174603	2	0.07554254599381238
SDN00016_L00010_R00003.txt	0.5	0.8761904761904762	0.22033898305084745	0.9333333333333333	2	0.08033672202145681
SDN00017_L00010_R00003.txt	0	1.0	0.0	1.0	3	0.0335647200117819
SDN00017_L00010_R00003.txt	0.01	1.0	0.0	1.0	3	0.07787077297689393
SDN00017_L00010_R00003.txt	0.02	1.0	0.0	1.0	3	0.12054422794608399
SDN00017_L00010_R00003.txt	0.05	1.0	0.0	1.0	3	0.09217684797476977
SDN00017_L00010_R00003.txt	0.1	1.0	0.0	1.0	3	0.13102850900031626
SDN00017_L00010_R00003.txt	0.2	1.0	0.0	1.0	3	0.07908753800438717
SDN00017_L00010_R00003.txt	0.3	1.0	0.0	1.0	3	0.0803613739553839
SDN00017_L00010_R00003.txt	0.4	0.9285714285714286	0.13333333333333333	0.9444444444444444	2	0.12602483300724998
SDN00017_L00010_R00003.txt	0.5	1.0	0.0	1.0	3	0.0854867190355435
SDN00018_L00010_R00000.txt	0	1.0	0.0	1.0	0	0.05911976197967306
SDN00018_L00010_R00000.txt	0.01	1.0	0.0	1.0	0	0.05559342901688069
SDN00018_L00010_R00000.txt	0.02	1.0	0.0	1.0	0	0.059117299038916826
SDN00018_L00010_R00000.txt	0.05	1.0	0.0	1.0	0	0.06330255698412657
SDN00018_L00010_R00000.txt	0.1	1.0	0.0	1.0	0	0.06408142996951938
SDN00018_L00010_R00000.txt	0.2	1.0	0.0	1.0	0	0.07370791799621657
SDN00018_L00010_R00000.txt	0.3	0.9428571428571428	0.10810810810810811	0.9455782312925171	0	0.07156772096641362
SDN00018_L00010_R00000.txt	0.4	1.0	0.0	1.0	0	0.113765238027554
SDN00018_L00010_R00000.txt	0.5	1.0	0.0	1.0	0	0.07772948598721996
SDN00019_L00010_R00002.txt	0	1.0	0.0	1.0	2	0.020836072973906994
SDN00019_L00010_R00002.txt	0.01	1.0	0.0	1.0	2	0.11609413602855057
SDN00019_L00010_R00002.txt	0.02	1.0	0.0	1.0	2	0.07309633295517415
SDN00019_L00010_R00002.txt	0.05	1.0	0.0	1.0	2	0.07144495099782944
SDN00019_L00010_R00002.txt	0.1	1.0	0.0	1.0	2	0.11613898701034486
SDN00019_L00010_R00002.txt	0.2	1.0	0.0	1.0	2	0.07664658001158386
SDN00019_L00010_R00002.txt	0.3	1.0	0.0	1.0	2	0.07708063599420711
SDN00019_L00010_R00002.txt	0.4	0.9666666666666667	0.06451612903225806	0.9841269841269841	2	0.12254276900785044
SDN00019_L00010_R00002.txt	0.5	0.8142857142857143	0.3132530120481928	0.8476190476190476	2	0.08266088197706267
SDN00020_L00010_R00002.txt	0	1.0	0.0	1.0	2	0.02612370502902195
SDN00020_L00010_R00002.txt	0.01	1.0	0.0	1.0	2	0.11874638998415321
SDN00020_L00010_R00002.txt	0.02	1.0	0.0	1.0	2	0.07854535902151838
SDN00020_L00010_R00002.txt	0.05	1.0	0.0	1.0	2	0.12271753704408184
SDN00020_L00010_R00002.txt	0.1	1.0	0.0	1.0	2	0.07766656205058098
SDN00020_L00010_R00002.txt	0.2	1.0	0.0	1.0	2	0.07965056004468352
SDN00020_L00010_R00002.txt	0.3	0.9666666666666667	0.06451612903225806	0.9795918367346939	3	0.12411453702952713
SDN00020_L00010_R00002.txt	0.4	0.9666666666666667	0.06451612903225806	0.9841269841269841	2	0.07921565498691052
SDN00020_L00010_R00002.txt	0.5	0.819047619047619	0.3064516129032258	0.8285714285714286	1	0.08366713603027165
SDN00021_L00010_R00003.txt	0	1.0	0.0	1.0	3	0.07210706098703668
SDN00021_L00010_R00003.txt	0.01	1.0	0.0	1.0	3	0.07296783599304035
SDN00021_L00010_R00003.txt	0.02	1.0	0.0	1.0	3	0.07754722301615402
SDN00021_L00010_R00003.txt	0.05	1.0	0.0	1.0	3	0.12094218499260023
SDN00021_L00010_R00003.txt	0.1	1.0	0.0	1.0	3	0.0783390179858543
SDN00021_L00010_R00003.txt	0.2	1.0	0.0	1.0	3	0.08347006002441049
SDN00021_L00010_R00003.txt	0.3	1.0	0.0	1.0	3	0.08276608900632709
SDN00021_L00010_R00003.txt	0.4	0.9428571428571428	0.10810810810810811	0.9444444444444444	2	0.08272231800947338
SDN00021_L00010_R00003.txt	0.5	0.8523809523809524	0.2572614107883817	0.8761904761904762	3	0.0847118019592017
SDN00022_L00010_R00001.txt	0	1.0	0.0	1.0	1	0.1102572790114209
SDN00022_L00010_R00001.txt	0.01	1.0	0.0	1.0	1	0.0855851800297387
SDN00022_L00010_R00001.txt	0.02	1.0	0.0	1.0	1	0.1275839899899438
SDN00022_L00010_R00001.txt	0.05	1.0	0.0	1.0	1	0.08374354598345235
SDN00022_L00010_R00001.txt	0.1	1.0	0.0	1.0	1	0.09170879196608439
SDN00022_L00010_R00001.txt	0.2	1.0	0.0	1.0	1	0.08712236100109294
SDN00022_L00010_R00001.txt	0.3	0.9666666666666667	0.06451612903225806	0.9727891156462585	1	0.08679109596414492
SDN00022_L00010_R00001.txt	0.4	1.0	0.0	1.0	1	0.13268050702754408
SDN00022_L00010_R00001.txt	0.5	0.8333333333333334	0.2857142857142857	0.8571428571428571	2	0.08692185999825597
SDN00023_L00010_R00000.txt	0	1.0	0.0	1.0	0	0.10426244098925963
SDN00023_L00010_R00000.txt	0.01	1.0	0.0	1.0	0	0.05799457500688732
SDN00023_L00010_R00000.txt	0.02	1.0	0.0	1.0	0	0.06521093298215419
SDN00023_L00010_R00000.txt	0.05	1.0	0.0	1.0	0	0.11727135302498937
SDN00023_L00010_R00000.txt	0.1	1.0	0.0	1.0	0	0.0653781809960492
SDN00023_L00010_R00000.txt	0.2	1.0	0.0	1.0	0	0.0639729099930264
SDN00023_L00010_R00000.txt	0.3	1.0	0.0	1.0	0	0.10527944599743932
SDN00023_L00010_R00000.txt	0.4	1.0	0.0	1.0	0	0.07255780202103779
SDN00023_L00010_R00000.txt	0.5	0.9666666666666667	0.06451612903225806	0.9619047619047619	0	0.12010404601460323
SDN00024_L00010_R00001.txt	0	1.0	0.0	1.0	1	0.03160314500564709
SDN00024_L00010_R00001.txt	0.01	1.0	0.0	1.0	1	0.07785506098298356
SDN00024_L00010_R00001.txt	0.02	1.0	0.0	1.0	1	0.12172353197820485
SDN00024_L00010_R00001.txt	0.05	1.0	0.0	1.0	1	0.07378665503347293
SDN00024_L00010_R00001.txt	0.1	1.0	0.0	1.0	1	0.07835832895943895
SDN00024_L00010_R00001.txt	0.2	1.0	0.0	1.0	1	0.08395631395978853
SDN00024_L00010_R00001.txt	0.3	1.0	0.0	1.0	1	0.08310596202500165
SDN00024_L00010_R00001.txt	0.4	0.9666666666666667	0.06451612903225806	0.9761904761904762	2	0.12514778500190005
SDN00024_L00010_R00001.txt	0.5	0.9666666666666667	0.06451612903225806	0.9714285714285714	1	0.08074363501509652
SDN00025_L00010_R00001.txt	0	1.0	0.0	1.0	1	0.09039518801728263
SDN00025_L00010_R00001.txt	0.01	1.0	0.0	1.0	1	0.0866824240074493
SDN00025_L00010_R00001.txt	0.02	1.0	0.0	1.0	1	0.0810110560269095
SDN00025_L00010_R00001.txt	0.05	1.0	0.0	1.0	1	0.08001664199400693
SDN00025_L00010_R00001.txt	0.1	1.0	0.0	1.0	1	0.08358709199819714
SDN00025_L00010_R00001.txt	0.2	1.0	0.0	1.0	1	0.12583549099508673
SDN00025_L00010_R00001.txt	0.3	0.9666666666666667	0.06451612903225806	0.9727891156462585	1	0.08466971095185727
SDN00025_L00010_R00001.txt	0.4	0.919047619047619	0.14977973568281938	0.9523809523809523	1	0.1264387010014616
SDN00025_L00010_R00001.txt	0.5	0.9333333333333333	0.125	0.9523809523809523	1	0.08563876897096634
SDN00026_L00010_R00001.txt	0	1.0	0.0	1.0	1	0.012250747997313738
SDN00026_L00010_R00001.txt	0.01	1.0	0.0	1.0	1	0.11576893698656932
SDN00026_L00010_R00001.txt	0.02	1.0	0.0	1.0	1	0.06969760300125927
SDN00026_L00010_R00001.txt	0.05	1.0	0.0	1.0	1	0.07604866597102955
SDN00026_L00010_R00001.txt	0.1	1.0	0.0	1.0	1	0.1183569030254148
SDN00026_L00010_R00001.txt	0.2	1.0	0.0	1.0	1	0.07456551800714806
SDN00026_L00010_R00001.txt	0.3	1.0	0.0	1.0	1	0.1239815530134365
SDN00026_L00010_R00001.txt	0.4	1.0	0.0	1.0	1	0.0784277250058949
SDN00026_L00010_R00001.txt	0.5	1.0	0.0	1.0	1	0.12175511702662334
SDN00027_L00010_R00001.txt	0	1.0	0.0	1.0	1	0.03664831799687818
SDN00027_L00010_R00001.txt	0.01	1.0	0.0	1.0	1	0.08503243798622862
SDN00027_L00010_R00001.txt	0.02	1.0	0.0	1.0	1	0.12888234201818705
SDN00027_L00010_R00001.txt	0.05	1.0	0.0	1.0	1	0.08433145098388195
SDN00027_L00010_R00001.txt	0.1	1.0	0.0	1.0	1	0.13265082897851244
SDN00027_L00010_R00001.txt	0.2	1.0	0.0	1.0	1	0.08873314503580332
SDN00027_L00010_R00001.txt	0.3	0.9666666666666667	0.06451612903225806	0.9795918367346939	1	0.08566505700582638
SDN00027_L00010_R00001.txt	0.4	1.0	0.0	1.0	1	0.1275488479877822
SDN00027_L00010_R00001.txt	0.5	0.8952380952380953	0.1896551724137931	0.9238095238095239	2	0.0865125060081482
SDN00028_L00010_R00002.txt	0	1.0	0.0	1.0	2	0.016862022050190717
SDN00028_L00010_R00002.txt	0.01	1.0	0.0	1.0	2	0.11533863900694996
SDN00028_L00010_R00002.txt	0.02	1.0	0.0	1.0	2	0.07241007901029661
SDN00028_L00010_R00002.txt	0.05	1.0	0.0	1.0	2	0.07066515204496682
SDN00028_L00010_R00002.txt	0.1	1.0	0.0	1.0	2	0.11531234096037224
SDN00028_L00010_R00002.txt	0.2	1.0	0.0	1.0	2	0.07610035099787638
SDN00028_L00010_R00002.txt	0.3	1.0	0.0	1.0	2	0.11920499202096835
SDN00028_L00010_R00002.txt	0.4	1.0	0.0	1.0	2	0.07843071600655094
SDN00028_L00010_R00002.txt	0.5	1.0	0.0	1.0	2	0.12368886999320239
SDN00029_L00010_R00002.txt	0	1.0	0.0	1.0	2	0.01773762295488268
SDN00029_L00010_R00002.txt	0.01	1.0	0.0	1.0	2	0.06806797295575961
SDN00029_L00010_R00002.txt	0.02	1.0	0.0	1.0	2	0.07767386100022122
SDN00029_L00010_R00002.txt	0.05	1.0	0.0	1.0	2	0.11451784503879026
SDN00029_L00010_R00002.txt	0.1	1.0	0.0	1.0	2	0.0780049730092287
SDN00029_L00010_R00002.txt	0.2	1.0	0.0	1.0	2	0.08363167400239035
SDN00029_L00010_R00002.txt	0.3	1.0	0.0	1.0	2	0.12712279602419585
SDN00029_L00010_R00002.txt	0.4	1.0	0.0	1.0	2	0.08439316600561142
SDN00029_L00010_R00002.txt	0.5	1.0	0.0	1.0	2	0.12747050100006163
SDN00030_L00010_R00003.txt	0	1.0	0.0	1.0	3	0.025382107007317245
SDN00030_L00010_R00003.txt	0.01	1.0	0.0	1.0	3	0.07367630198132247
SDN00030_L00010_R00003.txt	0.02	1.0	0.0	1.0	3	0.1277691120048985
SDN00030_L00010_R00003.txt	0.05	1.0	0.0	1.0	3	0.08095225697616115
SDN00030_L00010_R00003.txt	0.1	1.0	0.0	1.0	3	0.08045192999998108
SDN00030_L00010_R00003.txt	0.2	1.0	0.0	1.0	3	0.12404302001232281
SDN00030_L00010_R00003.txt	0.3	1.0	0.0	1.0	3	0.0823498250101693
SDN00030_L00010_R00003.txt	0.4	0.9666666666666667	0.06451612903225806	0.9603174603174603	2	0.08518631698098034
SDN00030_L00010_R00003.txt	0.5	0.8571428571428571	0.25	0.8476190476190476	1	0.08129004796501249
SDN00031_L00010_R00000.txt	0	1.0	0.0	1.0	0	0.06116472400026396
SDN00031_L00010_R00000.txt	0.01	1.0	0.0	1.0	0	0.10507884802063927
SDN00031_L00010_R00000.txt	0.02	1.0	0.0	1.0	0	0.06393133697565645
SDN00031_L00010_R00000.txt	0.05	1.0	0.0	1.0	0	0.06690700200852007
SDN00031_L00010_R00000.txt	0.1	1.0	0.0	1.0	0	0.11163140903227031
SDN00031_L00010_R00000.txt	0.2	1.0	0.0	1.0	0	0.07047275395598263
SDN00031_L00010_R00000.txt	0.3	1.0	0.0	1.0	0	0.0702392469975166
SDN00031_L00010_R00000.txt	0.4	0.9285714285714286	0.13333333333333333	0.9444444444444444	0	0.07798185100546107
SDN00031_L00010_R00000.txt	0.5	0.9666666666666667	0.06451612903225806	0.9714285714285714	0	0.08348664199002087
SDN00032_L00010_R00003.txt	0	1.0	0.0	1.0	3	0.07084399595623836
SDN00032_L00010_R00003.txt	0.01	1.0	0.0	1.0	3	0.08117089601000771
SDN00032_L00010_R00003.txt	0.02	1.0	0.0	1.0	3	0.08011590701062232
SDN00032_L00010_R00003.txt	0.05	1.0	0.0	1.0	3	0.12365901103476062
SDN00032_L00010_R00003.txt	0.1	1.0	0.0	1.0	3	0.07790263998322189
SDN00032_L00010_R00003.txt	0.2	1.0	0.0	1.0	3	0.08005019399570301
SDN00032_L00010_R00003.txt	0.3	0.9666666666666667	0.06451612903225806	0.9795918367346939	2	0.12742989900289103
SDN00032_L00010_R00003.txt	0.4	1.0	0.0	1.0	3	0.08261661900905892
SDN00032_L00010_R00003.txt	0.5	0.9095238095238095	0.16593886462882096	0.9047619047619048	3	0.1216443270095624
SDN00033_L00010_R00000.txt	0	1.0	0.0	1.0	0	0.05731498199747875
